Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2024,2860720,Cincinnati,18,019,31140,0508.01,8,109497,88819,23105,95900,471750,85,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,39,37,1,1,7,471750,16,24,4,4,12,1,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860721,Cincinnati,39,017,17140,0111.27,25,138669,97826,4893,103700,90000,80,2024,2024,1,01,0,180,180,01,1,1,5,8,1,4,40,998,1,1,6,90000,27,38,5,9,0,0,PT06,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860722,Cincinnati,39,061,17140,0096.00,44,34461,97826,2972,103700,37000,19,2024,2024,6,01,0,180,180,01,1,0,5,8,2,4,49,998,1,1,5.875,37000,21,22,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860723,Cincinnati,39,025,17140,0415.05,8,141705,97826,20751,103700,470000,80,2024,2024,1,01,0,360,360,01,2,0,5,5,2,1,35,36,1,1,7.125,470000,20,43,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860724,Cincinnati,39,165,17140,0319.07,32,199125,97826,16666,103700,640000,80,2024,2024,1,01,0,360,360,01,1,0,5,8,1,4,44,998,1,1,6.75,640000,33,42,5,9,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860725,Cincinnati,26,055,45900,5507.02,13,67727,93542,10414,99800,224176,38,2024,2024,1,01,0,180,180,01,1,0,5,8,2,4,37,998,1,1,5.25,225000,25,34,5,9,0,0,PT06,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860726,Cincinnati,39,049,18140,0072.09,38,122813,97262,18527,103300,184184,36,2024,2024,6,01,0,180,180,01,1,0,5,8,1,4,54,998,1,1,5.375,225000,15,18,5,9,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860727,Cincinnati,26,159,99999,0101.02,9,73810,80321,15188,79600,300000,80,2024,2024,2,01,0,180,180,01,2,0,5,5,1,2,48,48,1,1,5.125,300000,20,33,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860728,Cincinnati,39,169,49300,0009.00,6,78043,83546,17380,87300,238936,50,2024,2024,2,01,0,180,180,01,1,0,5,8,1,4,40,998,1,1,5.25,263000,17,17,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860729,Cincinnati,39,047,47920,9264.00,7,80417,77016,22004,80000,323797,42,2024,2024,1,01,0,180,180,01,2,0,5,5,2,1,50,52,1,1,5.125,325000,15,31,5,4,0,1,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860730,Cincinnati,18,037,27540,9536.00,4,86103,84155,7573,89400,280000,58,2024,2024,2,01,0,180,180,01,2,0,5,5,1,2,28,28,1,1,5.375,280000,36,38,5,5,0,1,PT03,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860731,Cincinnati,18,097,26900,3219.00,18,221827,93688,27169,101200,560000,45,2024,2024,2,01,0,180,180,01,2,0,6,6,1,2,61,64,1,1,5.25,560000,23,26,5,5,0,0,PT01,99,9999,9999-12-31,3,6,6,6,6,3,6,6,6,6,2,1
2024,2860732,Cincinnati,21,067,30460,0024.00,25,111450,89904,10450,95200,375000,66,2024,2024,2,01,0,360,360,01,1,0,6,8,1,4,48,998,1,1,6.75,375000,30,38,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860733,Cincinnati,39,165,17140,0324.00,6,108588,97826,13329,103700,247000,59,2024,2024,2,01,0,180,180,01,2,0,5,5,2,1,29,30,1,1,5.25,247000,18,38,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860734,Cincinnati,39,061,17140,0248.00,10,198636,97826,10725,103700,332000,80,2024,2024,1,01,0,180,180,01,2,0,5,5,2,1,29,30,1,1,6,332000,33,38,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860735,Cincinnati,21,191,17140,9301.02,5,86853,97826,12409,103700,449973,80,2024,2024,2,01,0,360,360,01,2,0,5,5,1,2,55,52,1,1,6.25,450400,24,32,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860736,Cincinnati,39,027,48940,9644.00,5,112083,81382,17222,86400,300000,28,2024,2024,2,01,0,360,360,01,1,0,5,8,1,4,63,998,1,1,6.25,300000,17,18,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860737,Cincinnati,21,037,17140,0528.00,11,99018,97826,16666,103700,547500,62,2024,2024,2,01,0,360,360,01,2,0,5,5,1,2,52,51,1,1,6.25,547500,30,34,5,5,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
